,first,second,SSD,SD,Pearson
FOXA-FOX,FOXA,FOX,2.762094190915195,0.025264219678758033,0.9934508007811457
PG-DUK,PG,DUK,4.277598522733901,0.05492923321679859,0.813922312966384
UPS-D,UPS,D,4.448860337086863,0.06026296609351642,0.8809257512663755
USB-BBT,USB,BBT,4.61123380378474,0.04957593119596604,0.9582998165763272
T-SO,T,SO,5.172892887756782,0.0604847414184834,0.7098089371664672
WMT-LIN,WMT,LIN,5.246926074872976,0.06531714386421875,0.7219462954502508
CB-TRV,CB,TRV,5.600501334484081,0.05834371390653144,0.9626756732730996
JPM-STI,JPM,STI,5.7258922367053575,0.06281351554723563,0.977883820784763
LIN-EMR,LIN,EMR,5.872017149634289,0.06871922151185238,0.8042472952285108
VZ-KO,VZ,KO,5.984671466596358,0.0692176034994302,0.34614194477617627
PFE-CL,PFE,CL,6.091117783391025,0.06483727121774127,0.7684291358177976
KO-SO,KO,SO,6.0922426453137115,0.04970677188687046,0.7702944105433496
MMM-MMC,MMM,MMC,6.1696466904106,0.06565717702052189,0.9840758358784222
XOM-CVX,XOM,CVX,6.477284691828108,0.07274451541638513,0.7778196494829693
MMC-APH,MMC,APH,7.027059136168305,0.07576357388438466,0.9802703670784256
HON-MMC,HON,MMC,7.482778108987177,0.07669906834734908,0.9891591609946704
MMM-HON,MMM,HON,7.497111223728091,0.06591123999621488,0.9815755731949654
HON-ADP,HON,ADP,7.674918864051081,0.07917731768788132,0.9649317606493496
MRK-SRE,MRK,SRE,7.801556470850501,0.07228132308861958,0.8871949726719982
MRK-D,MRK,D,7.8722496187496604,0.07380134588737752,0.8725794313802446
COST-TRV,COST,TRV,7.9051474249616716,0.0689281834216742,0.9459202090390089
AFL-YUM,AFL,YUM,7.924180968951142,0.08042267724521203,0.874371792538035
KO-DUK,KO,DUK,8.059408361718855,0.05977673029522005,0.7864064001917906
DUK-EXC,DUK,EXC,8.159414926246189,0.06453016773048106,0.7930194968982268
PLD-BAX,PLD,BAX,8.343050196853742,0.07212108850724537,0.9395045179390773
KO-EXC,KO,EXC,8.375963171664107,0.08258053064899958,0.6088673277295288
CMCSA-DHR,CMCSA,DHR,8.569730308897462,0.08360107415067022,0.9586809930101707
BRK/B-BK,BRK/B,BK,8.614291972890431,0.07944351989489111,0.9521626894248528
BRK/B-JNJ,BRK/B,JNJ,8.966668751502697,0.08548655298920109,0.9286077569631047
MMC-ITW,MMC,ITW,9.048884222784178,0.08249302403119564,0.9814020802358915
HON-ALL,HON,ALL,9.102587886987207,0.08501420810566981,0.9602383679616096
D-SRE,D,SRE,9.14161820192093,0.05662718365363659,0.9367120366400253
WMT-EMR,WMT,EMR,9.222019763226829,0.08670123817791246,0.6664399878204975
VZ-SO,VZ,SO,9.239886647921935,0.07705243306253895,0.3957226599502896
ITW-APH,ITW,APH,9.299748156608974,0.08400106302344323,0.9764276013737693
CL-D,CL,D,9.313131923844564,0.057405030779813376,0.8997603168032745
MMM-ADP,MMM,ADP,9.390859548311733,0.07737437179064861,0.9696923623678948
BDX-SYK,BDX,SYK,9.643728285113081,0.08217463097331525,0.9817470416821207
ECL-AIG,ECL,AIG,9.697206680105122,0.08613725024512474,0.9013962276673417
KO-CCI,KO,CCI,9.747914459087246,0.08922075590708202,0.8060639013372246
DUK-CCI,DUK,CCI,9.814509851179373,0.07220033030936068,0.8435442483563437
BDX-FIS,BDX,FIS,9.969659901206787,0.09023217824495859,0.9766022731708779
COF-BBT,COF,BBT,9.984107722609552,0.08097979365159418,0.8587358532036709
VZ-T,VZ,T,10.091491065241128,0.06443337775049815,0.6146238691655871
OXY-F,OXY,F,10.16595873992034,0.08179526684426895,0.8411070580438188
MMM-ALL,MMM,ALL,10.248165218659674,0.07184297421326241,0.9738804939621079
MRK-UPS,MRK,UPS,10.250483062621505,0.08658208936707451,0.818670481911004
MMC-AON,MMC,AON,10.29448462767164,0.06262204802255292,0.988197591517956
MMC-WM,MMC,WM,10.364919811191886,0.09051480658396859,0.9683141187966346
COP-APC,COP,APC,10.376999965118522,0.09164501355165862,0.9387078022516041
XOM-QCOM,XOM,QCOM,10.459813474145298,0.09233179780151908,0.7937562939477175
ADP-ALL,ADP,ALL,10.533451563214348,0.0914438590261456,0.9541741397813969
ADP-MMC,ADP,MMC,10.69370723586621,0.09240952427544202,0.9682572043752231
ITW-WM,ITW,WM,10.721164802531657,0.09327644478480351,0.9713691829506957
MRK-JCI,MRK,JCI,10.73486276921942,0.0819556573821238,0.8564270188021593
C-BBT,C,BBT,10.794916812489983,0.09368068089226242,0.8511909617268082
NEE-DHR,NEE,DHR,11.020307217557324,0.09362623983819064,0.9477691693536906
